,Person Description,Place Code,Customer Order,Additional Features in market,Promotion Name,Store Kind,Store Sales,Store Cost,Product Weights Data in (KG),Is Recyclable?,Min. Yearly Income,Store Area,Grocery Area,Frozen Area,Meat Area,Cost
mc_ID_10,"Married Male with three children, education: high school degree working as skilled manual",S01em_OR,"Frozen Desserts from Frozen Foods department, Ordered Brand : PigTail","['Ready Food', 'Coffee Bar', 'Video Store', 'Florist', 'Bar For Salad']",Big Time Discounts,Deluxe,3.96 Millions,1.7028 Millions,"{'Gross Weight': 24.7111, 'Net Weight': 21.8039, 'Package Weight': 2.9072}",non recyclable,30K+,2572.86,1734.5,503.07,335.38,583.1973
mc_ID_11,"Single Female with two children, education: partial high school working as skilled manual",P07nd_OR,"Breakfast Foods from Frozen Foods department, Ordered Brand : Carrington",,Big Time Discounts,Supermarket,1.71 Millions,0.513 Millions,"{'Gross Weight': 11.1054, 'Net Weight': 8.1837, 'Package Weight': 2.9217}",non recyclable,10K+,1887.13,1508,227.8,,574.9339
mc_ID_12,"Married Female with No children, education: high school degree working as manual",S03le_WA,"Bread from Baked Goods department, Ordered Brand : Sphinx",['Coffee Bar'],Weekend Discount,Supermarket,8.79 Millions,3.7797 Millions,"{'Gross Weight': 27.4729, 'Net Weight': 24.4204, 'Package Weight': 3.0525}",recyclable,50K+,1969.15,1236.07,440.92,293.69,364.1649
mc_ID_13,"Married Female with four children, education: bachelors degree working as professional",M10da_YU,"Baking Goods from Baking Goods department, Ordered Brand : Plato","['Coffee Bar', 'Bar For Salad', 'Ready Food', 'Florist', 'Video Store']",Pick Your Savings,Deluxe,6.78 Millions,3.1188 Millions,"{'Gross Weight': 22.8214, 'Net Weight': 21.2225, 'Package Weight': 1.599}",recyclable,70K+,2859.7,1871.16,593.93,395.95,295.4427
mc_ID_14,"Single Male with one child, education: partial college working as manual",S04ne_WA,"Starchy Foods from Starchy Foods department, Ordered Brand : Jardon",,,Supermarket,1.08 Millions,0.4428 Millions,"{'Gross Weight': 19.9142, 'Net Weight': 15.4081, 'Package Weight': 4.5061}",recyclable,30K+,2811.97,2049.72,459.36,304.4,714.2611
mc_ID_15,"Married Female with two children, education: partial high school working as manual",S03le_WA,"Drinks from Beverages department, Ordered Brand : Skinner",['Coffee Bar'],Super Savers,,2.68 Millions,1.1524 Millions,"{'Gross Weight': 10.335, 'Net Weight': 7.4279, 'Package Weight': 2.9072}",non recyclable,10K+,1970.94,1236.07,440.92,293.95,704.2718
mc_ID_16,"Single Female with four children, education: high school degree working as skilled manual",S03le_WA,"Electrical from Household department, Ordered Brand : Red Wing",['Coffee Bar'],Two Day Sale,Supermarket,6.16 Millions,1.9096 Millions,"{'Gross Weight': 22.9668, 'Net Weight': 21.5132, 'Package Weight': 1.4536}",non recyclable,30K+,1970.6,,440.92,293.95,477.3944
mc_ID_17,"Married Male with three children, education: high school degree working as manual",S01em_OR,"Snack Foods from Snack Foods department, Ordered Brand : Best Choice","['Florist', 'Video Store', 'Bar For Salad', 'Coffee Bar', 'Ready Food']",Lottery Cash Registerion,Deluxe,3.62 Millions,1.1584 Millions,"{'Gross Weight': 15.6988, 'Net Weight': 12.7916, 'Package Weight': 2.9072}",non recyclable,30K+,2573.46,1733.03,503.07,335.38,290.7357
mc_ID_18,"Single Female with three children, education: partial high school working as professional",B06ls_CA,"Meat from Meat department, Ordered Brand : Quick","['Bar For Salad', 'Ready Food', 'Florist', 'Coffee Bar', 'Video Store']",Sale Sale Sale,,14.56 Millions,6.9888 Millions,"{'Gross Weight': 22.676, 'Net Weight': 21.2225, 'Package Weight': 1.4536}",recyclable,130K+,2201.73,1423.27,465.54,310.3,304.1768
mc_ID_19,"Married Male with one child, education: bachelors degree working as professional",S04ne_WA,"Baking Goods from Baking Goods department, Ordered Brand : Landslide",,Wallet Savers,Supermarket,6.42 Millions,3.0174 Millions,"{'Gross Weight': 23.1121, 'Net Weight': 20.0596, 'Package Weight': 3.0525}",recyclable,110K+,2807.9,2049.72,457.36,304.91,418.1385
mc_ID_20,"Married Male with two children, education: partial college working as professional",M10da_YU,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Portsmouth","['Video Store', 'Florist', 'Bar For Salad', 'Ready Food', 'Coffee Bar']",Money Savers,Deluxe,13.72 Millions,4.2532 Millions,"{'Gross Weight': 12.2247, 'Net Weight': 10.7566, 'Package Weight': 1.4681}",non recyclable,90K+,2861.13,1871.16,593.93,397.92,343.611
mc_ID_21,"Married Male with four children, education: bachelors degree working as professional",T02ma_WA,"Vegetables from Produce department, Ordered Brand : High Top","['Florist', 'Coffee Bar', 'Bar For Salad', 'Ready Food']",Save Price,Deluxe,11.22 Millions,5.3856 Millions,"{'Gross Weight': 27.1822, 'Net Weight': 25.7286, 'Package Weight': 1.4536}",recyclable,70K+,3145.51,2055.29,654.13,435.58,602.1299
mc_ID_22,"Single Female with two children, education: partial high school working as skilled manual",H11go_ZA,"Breakfast Foods from Frozen Foods department, Ordered Brand : Carrington","['Ready Food', 'Video Store', 'Florist', 'Coffee Bar', 'Bar For Salad']",Price Winners,Deluxe,3.93 Millions,1.2183 Millions,"{'Gross Weight': 15.1174, 'Net Weight': 12.1956, 'Package Weight': 2.9217}",recyclable,30K+,2837.74,2038.11,481.98,322.43,453.9117
mc_ID_23,"Single Male with four children, education: partial high school working as skilled manual",S04ne_WA,"Baking Goods from Baking Goods department, Ordered Brand : Plato",,Savings Galore,,5.16 Millions,2.1156 Millions,"{'Gross Weight': 16.571, 'Net Weight': 13.6492, 'Package Weight': 2.9217}",non recyclable,10K+,2811.99,2048.45,457.36,304.91,714.2611
mc_ID_24,"Single Male with one child, education: high school degree working as manual",H11go_ZA,"Magazines from Periodicals department, Ordered Brand : Mighty Good","['Coffee Bar', 'Bar For Salad', 'Ready Food', 'Florist', 'Video Store']",Two Day Sale,Deluxe,3.7 Millions,1.147 Millions,"{'Gross Weight': 19.9142, 'Net Weight': 15.4081, 'Package Weight': 4.5061}",non recyclable,30K+,2841.35,2038.11,481.98,321.26,495.7517
mc_ID_25,"Married Male with three children, education: partial high school working as manual",M10da_YU,"Magazines from Periodicals department, Ordered Brand : Dollar","['Florist', 'Bar For Salad', 'Coffee Bar', 'Video Store', 'Ready Food']",Best Savings,Deluxe,5.7 Millions,2.28 Millions,"{'Gross Weight': 20.4957, 'Net Weight': 17.5885, 'Package Weight': 2.9072}",recyclable,10K+,2866.09,,593.93,395.67,278.7067
mc_ID_26,"Married Male with one child, education: partial high school working as management",H11go_ZA,"Vegetables from Produce department, Ordered Brand : Tell Tale","['Bar For Salad', 'Video Store', 'Florist', 'Coffee Bar', 'Ready Food']",Save Price,Deluxe,7.98 Millions,3.591 Millions,"{'Gross Weight': 24.7111, 'Net Weight': 20.3503, 'Package Weight': 4.3608}",non recyclable,130K+,2837.72,2038.11,481.98,319.31,284.3028
mc_ID_27,"Single Female with two children, education: partial high school working as manual",B06ls_CA,"Hardware from Checkout department, Ordered Brand : Black Tie","['Ready Food', 'Bar For Salad', 'Video Store', 'Coffee Bar', 'Florist']",Shelf Emptiers,Gourmet,2.01 Millions,0.9849 Millions,"{'Gross Weight': 15.4081, 'Net Weight': 12.5009, 'Package Weight': 2.9072}",non recyclable,30K+,2201.78,1424.85,465.54,,718.2882
mc_ID_28,"Single Male with four children, education: high school degree working as professional",S03le_WA,"Vegetables from Frozen Foods department, Ordered Brand : Golden",['Coffee Bar'],Big Time Saving,Supermarket,8.76 Millions,3.066 Millions,"{'Gross Weight': 17.2978, 'Net Weight': 14.376, 'Package Weight': 2.9217}",recyclable,130K+,1966.53,1236.07,440.92,,710.234
mc_ID_29,"Single Male with one child, education: partial college working as clerical",S01em_OR,"Hot Beverages from Beverages department, Ordered Brand : Super","['Ready Food', 'Florist', 'Video Store', 'Bar For Salad', 'Coffee Bar']",Bag Stuffer,Deluxe,4.11 Millions,1.4385 Millions,"{'Gross Weight': 11.5706, 'Net Weight': 8.6634, 'Package Weight': 2.9072}",non recyclable,30K+,2574.84,1736.51,503.07,335.34,432.1026
mc_ID_30,"Single Male with three children, education: bachelors degree working as professional",B06ls_CA,"Bread from Baked Goods department, Ordered Brand : Modell","['Video Store', 'Florist', 'Coffee Bar', 'Bar For Salad', 'Ready Food']",,Gourmet,1.53 Millions,0.4896 Millions,"{'Gross Weight': 17.007, 'Net Weight': 12.6317, 'Package Weight': 4.3753}",recyclable,130K+,2200.81,1424.85,465.54,,689.3663
mc_ID_31,"Single Male with one child, education: partial college working as manual",S04ne_WA,"Electrical from Household department, Ordered Brand : Sunset",,Save It (Sale),Supermarket,5.06 Millions,2.3276 Millions,"{'Gross Weight': 27.1822, 'Net Weight': 24.275, 'Package Weight': 2.9072}",recyclable,30K+,2813.93,2049.72,457.36,304.91,467.4051
mc_ID_32,"Married Male with two children, education: bachelors degree working as professional",T02ma_WA,"Magazines from Periodicals department, Ordered Brand : Gauss","['Florist', 'Coffee Bar', 'Ready Food', 'Bar For Salad']",Dollar Days,,3.32 Millions,1.4608 Millions,"{'Gross Weight': 22.8214, 'Net Weight': 19.7689, 'Package Weight': 3.0525}",recyclable,70K+,3145.76,2055.29,654.13,438.03,725.9763
mc_ID_33,"Married Female with two children, education: partial high school working as skilled manual",M10da_YU,"Meat from Frozen Foods department, Ordered Brand : Carrington","['Bar For Salad', 'Ready Food', 'Coffee Bar', 'Florist', 'Video Store']",Money Savers,Deluxe,1.86 Millions,0.5766 Millions,"{'Gross Weight': 14.4196, 'Net Weight': 12.966, 'Package Weight': 1.4536}",recyclable,10K+,2857.43,1871.16,593.93,395.95,343.611
mc_ID_34,"Married Female with four children, education: bachelors degree working as professional",M10da_YU,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Top Measure","['Florist', 'Video Store', 'Ready Food', 'Coffee Bar', 'Bar For Salad']",Money Savers,Deluxe,6.93 Millions,2.2869 Millions,"{'Gross Weight': 10.7275, 'Net Weight': 6.3667, 'Package Weight': 4.3608}",non recyclable,70K+,2861.51,1871.16,,396.33,343.611
mc_ID_35,"Single Male with one child, education: bachelors degree working as management",M10da_YU,"Canned Tuna from Canned Foods department, Ordered Brand : Blue Label","['Ready Food', 'Bar For Salad', 'Florist', 'Coffee Bar', 'Video Store']",Price Winners,Deluxe,4.23 Millions,1.4805 Millions,"{'Gross Weight': 14.1144, 'Net Weight': 11.2072, 'Package Weight': 2.9072}",recyclable,70K+,2861.13,1871.4,593.93,394.41,436.9665
mc_ID_36,"Married Female with two children, education: high school degree working as manual",O09ba_VE,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Good","['Ready Food', 'Bar For Salad']",Big Time Discounts,Supermarket,15.64 Millions,4.8484 Millions,"{'Gross Weight': 10.2769, 'Net Weight': 8.8233, 'Package Weight': 1.4536}",recyclable,30K+,3228.4,,470.27,313.55,501.9754
mc_ID_37,"Single Male with four children, education: bachelors degree working as professional",S01em_OR,"Drinks from Beverages department, Ordered Brand : Token","['Ready Food', 'Video Store', 'Coffee Bar', 'Bar For Salad', 'Florist']",Lottery Cash Registerion,Deluxe,6.44 Millions,3.1556 Millions,"{'Gross Weight': 20.0596, 'Net Weight': 15.6988, 'Package Weight': 4.3608}",recyclable,70K+,2577.81,1734.5,503.07,,646.4803
mc_ID_38,"Single Male with No children, education: partial college working as clerical",L05es_CA,"Bread from Baked Goods department, Ordered Brand : Fantastic",['Florist'],Save Price,Supermarket,4.66 Millions,1.7242 Millions,"{'Gross Weight': 29.7987, 'Net Weight': 26.8915, 'Package Weight': 2.9072}",non recyclable,30K+,2194.46,1317.89,523.32,350.27,670.486
mc_ID_39,"Married Male with two children, education: high school degree working as management",T02ma_WA,"Meat from Deli department, Ordered Brand : Red Spade","['Bar For Salad', 'Florist', 'Ready Food', 'Coffee Bar']",Discount Frenzy,,8.85 Millions,3.8055 Millions,"{'Gross Weight': 29.5079, 'Net Weight': 26.4554, 'Package Weight': 3.0525}",recyclable,130K+,,2055.29,656.13,434.85,779.6884
mc_ID_40,"Married Male with two children, education: high school degree working as manual",V19ia_BC,"Jams and Jellies from Baking Goods department, Ordered Brand : Landslide","['Florist', 'Coffee Bar']",Shelf Clearing Days,Mid-Size,9.0 Millions,4.5 Millions,"{'Gross Weight': 8.9251, 'Net Weight': 7.4569, 'Package Weight': 1.4681}",non recyclable,30K+,3200.69,2549.61,389.54,259.66,267.5668
mc_ID_41,"Married Male with two children, education: bachelors degree working as professional",M10da_YU,"Vegetables from Frozen Foods department, Ordered Brand : Carrington","['Video Store', 'Coffee Bar', 'Bar For Salad', 'Ready Food', 'Florist']",Sales Days,Deluxe,2.76 Millions,0.9936 Millions,"{'Gross Weight': 9.9862, 'Net Weight': 8.5181, 'Package Weight': 1.4681}",non recyclable,50K+,2861.13,1871.16,593.93,395.95,608.772
mc_ID_42,"Married Female with four children, education: high school degree working as skilled manual",G16ra_JA,"Vegetables from Produce department, Ordered Brand : High Top",['Coffee Bar'],Sale : Double Down,Small Grocery,6.9 Millions,3.243 Millions,"{'Gross Weight': 12.3701, 'Net Weight': 9.4629, 'Package Weight': 2.9072}",recyclable,30K+,2289.39,1394.66,536.29,354.39,602.3914
mc_ID_43,"Married Female with three children, education: bachelors degree working as management",M10da_YU,"Breakfast Foods from Frozen Foods department, Ordered Brand : Golden","['Ready Food', 'Florist', 'Coffee Bar', 'Video Store', 'Bar For Salad']",Shelf Clearing Days,Deluxe,5.4 Millions,2.268 Millions,"{'Gross Weight': 30.9615, 'Net Weight': 26.4554, 'Package Weight': 4.5061}",non recyclable,70K+,2860.46,1871.16,,395.17,516.7763
mc_ID_44,"Single Female with No children, education: partial college working as professional",B14on_WA,"Fruit from Produce department, Ordered Brand : High Top","['Bar For Salad', 'Ready Food']",Coupon Spectacular,Supermarket,4.94 Millions,1.9266 Millions,"{'Gross Weight': 17.5885, 'Net Weight': 14.6813, 'Package Weight': 2.9072}",recyclable,30K+,3687.88,2265.9,853.22,568.75,269.1881
mc_ID_45,"Married Female with four children, education: partial high school working as skilled manual",S01em_OR,"Dairy from Dairy department, Ordered Brand : Club","['Bar For Salad', 'Video Store', 'Florist', 'Coffee Bar', 'Ready Food']",Lottery Cash Registerion,Deluxe,2.96 Millions,1.4208 Millions,"{'Gross Weight': 19.4781, 'Net Weight': 16.4256, 'Package Weight': 3.0525}",non recyclable,10K+,2569,1737.48,503.07,335.38,646.4803
mc_ID_46,"Married Female with two children, education: partial high school working as manual",O09ba_VE,"Jams and Jellies from Baking Goods department, Ordered Brand : CDR","['Bar For Salad', 'Ready Food']",Three for One,Supermarket,7.95 Millions,2.7825 Millions,"{'Gross Weight': 10.0879, 'Net Weight': 5.7272, 'Package Weight': 4.3608}",recyclable,10K+,3232.19,2448.37,470.27,313.55,656.2604
mc_ID_47,"Married Male with four children, education: graduate degree working as management",B14on_WA,"Electrical from Household department, Ordered Brand : High Quality","['Ready Food', 'Bar For Salad']",Super Duper Savers,Supermarket,14.04 Millions,6.4584 Millions,"{'Gross Weight': 31.3976, 'Net Weight': 29.944, 'Package Weight': 1.4536}",non recyclable,130K+,3687.88,2265.9,855.22,568.75,677.285
mc_ID_48,"Married Female with five children, education: high school degree working as manual",M10da_YU,"Frozen Desserts from Frozen Foods department, Ordered Brand : Imagine","['Ready Food', 'Video Store', 'Florist', 'Bar For Salad', 'Coffee Bar']",,Deluxe,2.98 Millions,1.3112 Millions,"{'Gross Weight': 10.6548, 'Net Weight': 7.7331, 'Package Weight': 2.9217}",non recyclable,30K+,2857.43,1871.16,593.93,397.45,519.7574
mc_ID_49,"Married Male with two children, education: partial college working as skilled manual",P07nd_OR,"Meat from Deli department, Ordered Brand : American",,Shelf Clearing Days,Supermarket,10.6 Millions,4.982 Millions,"{'Gross Weight': 10.4513, 'Net Weight': 8.9977, 'Package Weight': 1.4536}",recyclable,30K+,1889.71,1508,227.8,151.9,399.6243
mc_ID_50,"Married Female with two children, education: partial college working as skilled manual",C15ho_ZA,"Hygiene from Health and Hygiene department, Ordered Brand : Consolidated","['Coffee Bar', 'Ready Food', 'Bar For Salad', 'Florist']",GLD,,8.52 Millions,4.1748 Millions,"{'Gross Weight': 14.6813, 'Net Weight': 10.3205, 'Package Weight': 4.3608}",non recyclable,30K+,2207.28,1564.86,385.45,256.97,396.2248
mc_ID_51,"Married Male with five children, education: bachelors degree working as professional",T02ma_WA,"Pain Relievers from Health and Hygiene department, Ordered Brand : Hilltop","['Florist', 'Bar For Salad', 'Coffee Bar', 'Ready Food']",Price Winners,Deluxe,8.67 Millions,2.8611 Millions,"{'Gross Weight': 27.4729, 'Net Weight': 25.874, 'Package Weight': 1.599}",recyclable,90K+,,,654.13,436.04,494.9149
mc_ID_52,"Single Male with four children, education: partial high school working as manual",T02ma_WA,"Dairy from Dairy department, Ordered Brand : Carlson","['Bar For Salad', 'Ready Food', 'Florist', 'Coffee Bar']",Super Duper Savers,,9.2 Millions,3.312 Millions,"{'Gross Weight': 28.1997, 'Net Weight': 25.1472, 'Package Weight': 3.0525}",non recyclable,30K+,3144.49,2055.29,654.13,437.91,475.93
mc_ID_53,"Married Female with four children, education: high school degree working as professional",S04ne_WA,"Dairy from Dairy department, Ordered Brand : Carlson",,Save It (Sale),Supermarket,7.08 Millions,2.3364 Millions,"{'Gross Weight': 12.7771, 'Net Weight': 8.4018, 'Package Weight': 4.3753}",recyclable,150K+,2811.99,,457.36,305.45,467.4051
mc_ID_54,"Married Female with one child, education: partial college working as professional",H11go_ZA,"Canned Tuna from Canned Foods department, Ordered Brand : Better","['Bar For Salad', 'Florist', 'Coffee Bar', 'Video Store', 'Ready Food']",Go For It,Deluxe,8.31 Millions,3.324 Millions,"{'Gross Weight': 31.543, 'Net Weight': 28.6358, 'Package Weight': 2.9072}",non recyclable,30K+,2842.6,2038.45,481.98,321.26,455.3761
mc_ID_55,"Single Male with three children, education: high school degree working as manual",A17co_GU,"Fruit from Produce department, Ordered Brand : High Top",,Mystery Sale,,5.01 Millions,1.503 Millions,"{'Gross Weight': 27.909, 'Net Weight': 26.4554, 'Package Weight': 1.4536}",recyclable,30K+,2191.86,1622.31,343.05,227.33,718.9681
mc_ID_56,"Married Male with two children, education: partial college working as professional",M10da_YU,"Pain Relievers from Health and Hygiene department, Ordered Brand : Faux Products","['Coffee Bar', 'Ready Food', 'Florist', 'Video Store', 'Bar For Salad']",Money Savers,Deluxe,4.64 Millions,1.6704 Millions,"{'Gross Weight': 16.1349, 'Net Weight': 13.2277, 'Package Weight': 2.9072}",non recyclable,90K+,2856.81,1871.16,595.93,397.65,343.611
mc_ID_57,"Married Male with three children, education: partial high school working as skilled manual",P07nd_OR,"Meat from Deli department, Ordered Brand : Red Spade",,GLD,,8.22 Millions,2.466 Millions,"{'Gross Weight': 29.3626, 'Net Weight': 25.0018, 'Package Weight': 4.3608}",non recyclable,10K+,1890.04,,227.8,153.24,727.9637
mc_ID_58,"Married Female with three children, education: graduate degree working as management",S04ne_WA,"Miscellaneous from Checkout department, Ordered Brand : Akron",,One Day Sale,Supermarket,3.48 Millions,1.3224 Millions,"{'Gross Weight': 11.9776, 'Net Weight': 9.0559, 'Package Weight': 2.9217}",non recyclable,130K+,2811.99,2049.72,457.36,304.59,486.7561
mc_ID_59,"Married Female with four children, education: partial high school working as skilled manual",V19ia_BC,"Canned Shrimp from Canned Foods department, Ordered Brand : Blue Label","['Florist', 'Coffee Bar']",I Cant Believe It Sale,Mid-Size,5.72 Millions,2.8028 Millions,"{'Gross Weight': 12.8788, 'Net Weight': 9.9571, 'Package Weight': 2.9217}",non recyclable,10K+,3200.91,2551.4,,259.66,275.9871
mc_ID_60,"Single Female with two children, education: high school degree working as skilled manual",L05es_CA,"Frozen Desserts from Frozen Foods department, Ordered Brand : PigTail",['Florist'],Shelf Emptiers,Supermarket,5.12 Millions,1.9968 Millions,"{'Gross Weight': 22.24, 'Net Weight': 19.3328, 'Package Weight': 2.9072}",recyclable,30K+,2189.66,1320.15,523.32,348.85,564.2647
mc_ID_61,"Married Female with five children, education: partial high school working as manual",S03le_WA,"Drinks from Beverages department, Ordered Brand : Skinner",['Coffee Bar'],Weekend Discount,,2.68 Millions,1.2864 Millions,"{'Gross Weight': 10.335, 'Net Weight': 7.4279, 'Package Weight': 2.9072}",non recyclable,10K+,1970.87,1235.84,440.92,293.95,364.1649
mc_ID_62,"Single Male with two children, education: partial college working as clerical",S03le_WA,"Snack Foods from Snack Foods department, Ordered Brand : Fast",['Coffee Bar'],Two Day Sale,Supermarket,1.1 Millions,0.385 Millions,"{'Gross Weight': 27.0368, 'Net Weight': 24.1296, 'Package Weight': 2.9072}",recyclable,30K+,1967.34,1236.07,442.92,295.61,477.3944
mc_ID_63,"Married Male with two children, education: bachelors degree working as management",S03le_WA,"Cold Remedies from Health and Hygiene department, Ordered Brand : Faux Products",['Coffee Bar'],Savings Galore,Supermarket,6.2 Millions,1.922 Millions,"{'Gross Weight': 13.7946, 'Net Weight': 10.8729, 'Package Weight': 2.9217}",recyclable,50K+,1970.11,1236.07,440.92,293.95,724.5119
mc_ID_64,"Married Female with one child, education: bachelors degree working as professional",B06ls_CA,"Kitchen Products from Household department, Ordered Brand : Sunset","['Florist', 'Coffee Bar', 'Bar For Salad', 'Ready Food', 'Video Store']",Two Day Sale,Gourmet,2.67 Millions,0.9078 Millions,"{'Gross Weight': 25.0018, 'Net Weight': 20.641, 'Package Weight': 4.3608}",non recyclable,70K+,2200.69,1424.85,465.54,310.3,783.1925
mc_ID_65,"Married Female with two children, education: high school degree working as professional",T02ma_WA,"Candy from Snacks department, Ordered Brand : Musial","['Bar For Salad', 'Ready Food', 'Florist', 'Coffee Bar']",Dollar Days,Deluxe,4.98 Millions,1.8924 Millions,"{'Gross Weight': 12.341, 'Net Weight': 9.4193, 'Package Weight': 2.9217}",recyclable,70K+,3143.65,2055.29,654.13,,725.9763
mc_ID_66,"Single Female with four children, education: partial high school working as skilled manual",P07nd_OR,"Dairy from Dairy department, Ordered Brand : Carlson",,GLD,Supermarket,3.42 Millions,1.026 Millions,"{'Gross Weight': 20.9317, 'Net Weight': 17.8792, 'Package Weight': 3.0525}",non recyclable,10K+,1887.68,1508,227.8,151.9,727.9637
mc_ID_67,"Married Male with No children, education: bachelors degree working as professional",B06ls_CA,"Dairy from Dairy department, Ordered Brand : Carlson","['Bar For Salad', 'Ready Food', 'Coffee Bar', 'Florist', 'Video Store']",Shelf Emptiers,Gourmet,5.24 Millions,2.2532 Millions,"{'Gross Weight': 14.2452, 'Net Weight': 9.8844, 'Package Weight': 4.3608}",recyclable,50K+,2200.69,,465.54,310.3,718.2882
mc_ID_68,"Single Male with three children, education: partial high school working as manual",L05es_CA,"Snack Foods from Snack Foods department, Ordered Brand : Fort West",['Florist'],You Save Days,Supermarket,8.52 Millions,3.9192 Millions,"{'Gross Weight': 15.9895, 'Net Weight': 14.5359, 'Package Weight': 1.4536}",recyclable,10K+,2196.16,1321.21,523.32,349.71,689.3663
mc_ID_69,"Single Male with two children, education: bachelors degree working as professional",C15ho_ZA,"Paper Products from Household department, Ordered Brand : High Quality","['Bar For Salad', 'Ready Food', 'Coffee Bar', 'Florist']",,Gourmet,7.36 Millions,3.0176 Millions,"{'Gross Weight': 28.9265, 'Net Weight': 25.874, 'Package Weight': 3.0525}",non recyclable,50K+,2207.28,1564.86,385.45,255.91,558.1979
mc_ID_70,"Married Male with three children, education: partial high school working as manual",P07nd_OR,"Vegetables from Produce department, Ordered Brand : Ebony",,Money Savers,Supermarket,11.4 Millions,4.674 Millions,"{'Gross Weight': 17.4431, 'Net Weight': 15.9895, 'Package Weight': 1.4536}",non recyclable,10K+,1885.47,,227.8,151.9,277.2423
